h;form1;form2;form3;form4;form5
0.5;0,002679;0,002852;0,000086;0,000001;0
0.25;0,00136;0,001403;0,000022;0;0
0.125;0,000685;0,000696;0,000005;0;0
0.0625;0,000344;0,000347;0,000001;0;0
0.03125;0,000172;0,000173;0;0;0
0.015625;0,000086;0,000086;0;0;0
0.0078125;0,000043;0,000043;0;0;0
0.00390625;0,000022;0,000022;0;0;0
0.00195312;0,000011;0,000011;0;0;0
0.000976562;0,000005;0,000005;0;0;0
0.000488281;0,000003;0,000003;0;0;0
0.000244141;0,000001;0,000001;0;0;0
0.00012207;0,000001;0,000001;0;0;0
6.10352e-05;0;0;0;0;0
3.05176e-05;0;0;0;0;0
1.52588e-05;0;0;0;0;0
7.62939e-06;0;0;0;0;0
3.8147e-06;0;0;0;0;0
1.90735e-06;0;0;0;0;0
9.53674e-07;0;0;0;0;0
4.76837e-07;0;0;0;0;0
2.38419e-07;0;0;0;0;0
1.19209e-07;0;0;0;0;0
5.96046e-08;0;0;0;0;0
2.98023e-08;0;0;0;0;0
1.49012e-08;0;0;0;0;0
7.45058e-09;0;0;0;0;0
3.72529e-09;0;0;0;0;0
1.86265e-09;0;0;0;0;0
9.31323e-10;0;0;0;0;0
4.65661e-10;0,000001;0;0;0;0
2.32831e-10;0,000002;0;0,000001;0,000001;0,000001
1.16415e-10;0;0;0;0,000001;0,000001
5.82077e-11;0,000004;0,000004;0;0;0
2.91038e-11;0,000004;0,000012;0,000004;0,000005;0,000006
1.45519e-11;0,000019;0,000012;0,000004;0,000006;0,000008
7.27596e-12;0,000019;0,000042;0,000012;0,000017;0,000019
3.63798e-12;0,000019;0,000103;0,000042;0,000052;0,000056
1.81899e-12;0,000019;0,000225;0,000103;0,000124;0,000132
9.09495e-13;0,000019;0,000019;0,000019;0,00006;0,000084
4.54747e-13;0,000019;0,000019;0,000019;0,000019;0,000019
