h;form1;form2;form3;form4;form5
0.5;0,029606;0,194402;0,112004;0,03078;0,014952
0.25;0,019469;0,079309;0,02992;0,002559;0,00042
0.125;0,018263;0,033481;0,007609;0,000172;0,000008
0.0625;0,011178;0,014999;0,001911;0,000011;0
0.03125;0,006085;0,007042;0,000478;0,000001;0
0.015625;0,003165;0,003404;0,00012;0;0
0.0078125;0,001612;0,001672;0,00003;0;0
0.00390625;0,000814;0,000829;0,000007;0;0
0.00195312;0,000409;0,000412;0,000002;0;0
0.000976562;0,000205;0,000206;0;0;0
0.000488281;0,000103;0,000103;0;0;0
0.000244141;0,000051;0,000051;0;0;0
0.00012207;0,000026;0,000026;0;0;0
6.10352e-05;0,000013;0,000013;0;0;0
3.05176e-05;0,000006;0,000006;0;0;0
1.52588e-05;0,000003;0,000003;0;0;0
7.62939e-06;0,000002;0,000002;0;0;0
3.8147e-06;0,000001;0,000001;0;0;0
1.90735e-06;0;0;0;0;0
9.53674e-07;0;0;0;0;0
4.76837e-07;0;0;0;0;0
2.38419e-07;0;0;0;0;0
1.19209e-07;0;0;0;0;0
5.96046e-08;0;0;0;0;0
2.98023e-08;0;0;0;0;0
1.49012e-08;0;0;0;0;0
7.45058e-09;0;0;0;0;0
3.72529e-09;0;0;0;0;0
1.86265e-09;0;0;0;0;0
9.31323e-10;0;0;0;0;0
4.65661e-10;0;0;0;0;0
2.32831e-10;0,000001;0;0;0;0
1.16415e-10;0,000001;0;0,000001;0,000001;0,000001
5.82077e-11;0;0;0;0,000001;0,000001
2.91038e-11;0,000003;0,000004;0;0;0
1.45519e-11;0,000003;0,000012;0,000004;0,000006;0,000006
7.27596e-12;0,000003;0,000003;0,000003;0,000006;0,000007
3.63798e-12;0,000034;0,000027;0,000003;0,000003;0,000003
1.81899e-12;0,000095;0,000027;0,000034;0,000044;0,000048
9.09495e-13;0,000095;0,000149;0,000027;0,000047;0,000064
4.54747e-13;0,000339;0,000149;0,000095;0,000136;0,00016
