h;form1;form2;form3;form4;form5
0.5;0,141522;0,201541;0,030009;0,001643;0,002092
0.25;0,083176;0,098184;0,007504;0,000002;0,000067
0.125;0,044088;0,047837;0,001875;0,000002;0,000001
0.0625;0,022591;0,023528;0,000469;0;0
0.03125;0,011422;0,011657;0,000117;0;0
0.015625;0,005742;0,0058;0,000029;0;0
0.0078125;0,002878;0,002893;0,000007;0;0
0.00390625;0,001441;0,001445;0,000002;0;0
0.00195312;0,000721;0,000722;0;0;0
0.000976562;0,000361;0,000361;0;0;0
0.000488281;0,00018;0,00018;0;0;0
0.000244141;0,00009;0,00009;0;0;0
0.00012207;0,000045;0,000045;0;0;0
6.10352e-05;0,000023;0,000023;0;0;0
3.05176e-05;0,000011;0,000011;0;0;0
1.52588e-05;0,000006;0,000006;0;0;0
7.62939e-06;0,000003;0,000003;0;0;0
3.8147e-06;0,000001;0,000001;0;0;0
1.90735e-06;0,000001;0,000001;0;0;0
9.53674e-07;0;0;0;0;0
4.76837e-07;0;0;0;0;0
2.38419e-07;0;0;0;0;0
1.19209e-07;0;0;0;0;0
5.96046e-08;0;0;0;0;0
2.98023e-08;0;0;0;0;0
1.49012e-08;0;0;0;0;0
7.45058e-09;0;0;0;0;0
3.72529e-09;0;0;0;0;0
1.86265e-09;0;0;0;0;0
9.31323e-10;0;0;0;0;0
4.65661e-10;0;0;0;0;0
2.32831e-10;0;0;0;0;0
1.16415e-10;0,000001;0;0;0;0,000001
5.82077e-11;0;0;0;0;0
2.91038e-11;0,000002;0,000002;0,000002;0,000002;0,000003
1.45519e-11;0,000002;0,000002;0,000002;0,000003;0,000004
7.27596e-12;0,000006;0,000006;0,000006;0,000008;0,00001
3.63798e-12;0,00001;0,00001;0,00001;0,000015;0,000018
1.81899e-12;0,000021;0,00004;0,00001;0,00001;0,000009
9.09495e-13;0,000021;0,000021;0,000021;0,000031;0,000039
4.54747e-13;0,000021;0,000021;0,000021;0,000021;0,000017
